1 value means positive comments and 0 value means negative comments,,,,,,,,,"whenever use this dataset refer : Singh, S. K., & Sachan, M. K. (2021, November). Acquisition and Development of Code-Mixed Corpus for Sentiment Analysis of Resource-Scarce Languages. In 2021 International Conference on Disruptive Technologies for Multi-Disciplinary Research and Applications (CENTCON) (Vol. 1, pp. 70-74). IEEE.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,it will help to common man,,,,,,,,,,,,,,,,,,,,,
1,You say that gst is good for us,,,,,,,,,,,,,,,,,,,,,
1,Your every decisions are appreciable.,,,,,,,,,,,,,,,,,,,,,
1,A right decission at right time it will solve most of the problem of small traders and will indirectly contribute in making India a strong country  congrats  Siri and the entire team,,,,,,,,,,,,,,,,,,,,,
1,"A very good and much awaited to move, which cud have done little earlier, I feel before the demonetisation and GST after effect hitting badly the lower classes of people.Now lets make sure that these benefits are reaching to the needy people.All should work towards that.",,,,,,,,,,,,,,,,,,,,,
1,A very good step...,,,,,,,,,,,,,,,,,,,,,
1,A welcome move from govment working day ND night for betterment  for country ...congrats PM FM ND core team jai hind ....at least har indian itna apne liye bhi kare desh thora to aage jarure bade ga ..,,,,,,,,,,,,,,,,,,,,,
1,A welcome move.GST should be implemented  so that it propels economic growth without being a burdern on the common people and on the honest people in their professions and occupations.,,,,,,,,,,,,,,,,,,,,,
1,all indians r with u sir.. you move on.. let duffer like Rahul Gandhi bark..,,,,,,,,,,,,,,,,,,,,,
1,"Although, we are further hoping for a simple and easy way of getting its implementation. We entire people wish all things come in better way in normalisation and especially taxes and tariffs be implemented in most correct way...!!        Also, I think in terms of development of a nation we don't needs to makes so many schemes and policies and allocation of funds on them might be just a lost.!!!  I wish we should makes a strategy a policy a scheme right to the point of development and get involved on it. No more confusion no more waste of money.!!  Like China.!   Eventhough, we have a world's lenthest constitution but see....what is the use of it and its good impact till a date??  Moreover, India should be in 1st position....!!!   So, we should think of it first...!!",,,,,,,,,,,,,,,,,,,,,
1,Amazed by the fact that there is action taken to feedback given by we the common man !,,,,,,,,,,,,,,,,,,,,,
1,appreciate responsive and responsible governance.,,,,,,,,,,,,,,,,,,,,,
1,Atleast some measures have been taken ...thanks modiji...,,,,,,,,,,,,,,,,,,,,,
1,Before pointing out wehave to support in a positive way ...I support GST why because every transaction can be traced ...But taxes are more hotels n AGRICULTURAL related ...because 5% taxes on branded goods ...So now slow movement of all the agri commodities ...please verify resolve the issue ...sir ...,,,,,,,,,,,,,,,,,,,,,
1,Best FM India history,,,,,,,,,,,,,,,,,,,,,
1,Best PM In the World Narendra Modi. (Y),,,,,,,,,,,,,,,,,,,,,
1,"Big Country, Big issues.. It will take time, bt at least someone is trying to get the job done.",,,,,,,,,,,,,,,,,,,,,
1,"Common people must get benefit from all sorts, from these procedures, hope this will work efficient for all sectors and all varieties of sections people of the society in future......!!!!!!!",,,,,,,,,,,,,,,,,,,,,
1,Congrats to your team India.,,,,,,,,,,,,,,,,,,,,,
1,"Congratts for the new ammendments made.  Its good reform and revolution but ...wud b good if its a bit more simple and uniform... , so that ppl understand it exactly and do accurately and on time.  Regards - Naren Agarwal.",,,,,,,,,,,,,,,,,,,,,
1,Congratulation to PM n entire family of GST.,,,,,,,,,,,,,,,,,,,,,
1,Congratulations,,,,,,,,,,,,,,,,,,,,,
1,Congratulations Sir,,,,,,,,,,,,,,,,,,,,,
1,Congratulations sir,,,,,,,,,,,,,,,,,,,,,
1,Congratulations sir Ji,,,,,,,,,,,,,,,,,,,,,
1,Congratulations to all small n medium entrepreneurs..  Sabka saath sabka vikas..  Jai ho Modi government Ki.  Vandematram..,,,,,,,,,,,,,,,,,,,,,
1,Congratulations to...my PM,,,,,,,,,,,,,,,,,,,,,
1,Congratulations...,,,,,,,,,,,,,,,,,,,,,
1,"Dear Modiji,  don't worry about detractors who always hate growth because they don't want our country to grow,  you have all the support of citizen who cares for development of our country",,,,,,,,,,,,,,,,,,,,,
1,"Dear Modiji. I am your strong follower since 2002. I highly appreciate the efforts and challenging initiatives you take to develop India. The lobby working against your goverment is trying hard to defame you. We know it will take a few years to streamline and stabilise things as it was in a worst stage when you took charge as PM. Some immediate measure that will reduce the cost of living of poor, low and medium income group is expected from the government.  After implementing GST the prices of goods and services should have fallen but it increased. The companies supplying goods have added the new tax rate with the MRP of goods which was already inclusive of tax. They should have deducted the old tax from MRP and then add the new GST rate. That's how the prices of many goods rised instead of falling. For example a particular brand of rice which costed Rs.75 is now Rs.86 per kg. Is there any RTI to know how they increased the price with so much difference. Same case is with many necessary commodities.",,,,,,,,,,,,,,,,,,,,,
1,Dear Sir !!  We are with You !   that's the Long and short of it !!,,,,,,,,,,,,,,,,,,,,,
1,"Dear Sir,  Due to GST, small venders whose income is even less than 5 lakhs yearly are refused by some  companies to provide services without GST number, Please instruction may given to them for appropriate steps",,,,,,,,,,,,,,,,,,,,,
1,"Dear Sir, i think the steps are welcome. However i do feel that composition scheme should also be extended to service providers. That would help many small service providers in terms of GST compliance requirments. Request you to kindly consider this.",,,,,,,,,,,,,,,,,,,,,
1,"Dear,PM People looking Good Survival Tax.Remove all the tax affecting common people.",,,,,,,,,,,,,,,,,,,,,
1,Deepak jha 60yrs of corruption need to cleaned and Don t worry about economy when our economy sustained biggest scams of the world so now it will grow and shine,,,,,,,,,,,,,,,,,,,,,
1,"Demonetization and GST BOTH Courageous DECISION taken by you. Every Indians are with u, don't listen what opposition says.",,,,,,,,,,,,,,,,,,,,,
1,"Demonetization,GST implementation is first time implementation. Definitely there will be    problems while implementing and need to take feedback ,corrective actions should follow.that is what govt is doing.Narendra Modiji have the courage to do the good things.We should appreciate that.Dont expect results immediately.It will take time and good for country.",,,,,,,,,,,,,,,,,,,,,
1,Encouraging step!!,,,,,,,,,,,,,,,,,,,,,
